fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
81.0,car,0,2,679,552,938,729,,0.0,0,0,0,0,
81.0,car,0,3,224,524,328,603,,0.0,0,0,0,0,
82.0,car,0,1,922,549,1450,829,590082,0.1580818042796899,432,207,505,230,590082
82.0,car,0,2,680,553,938,730,,0.0,0,0,0,0,
82.0,car,0,3,223,524,331,604,,0.0,0,0,0,0,
83.0,car,0,1,922,549,1450,829,59830XZ,0.21979906819179362,433,207,505,231,59830XZ
83.0,car,0,2,680,553,938,730,,0.0,0,0,0,0,
83.0,car,0,3,223,523,332,604,,0.0,0,0,0,0,
83.0,car,0,4,331,488,642,747,5277LYV,0.7897711509343436,172,190,249,216,5277LYV
84.0,car,0,1,922,550,1451,829,59830XZI,0.11372639870110983,434,206,502,229,59830XZI
84.0,car,0,2,680,555,940,730,,0.0,0,0,0,0,
84.0,car,0,3,223,523,333,604,,0.0,0,0,0,0,
85.0,car,0,1,922,550,1452,830,5900Z,0.6042661212512722,435,205,507,229,5900Z
85.0,car,0,2,681,555,940,731,,0.0,0,0,0,0,
85.0,car,0,3,223,523,333,605,,0.0,0,0,0,0,
85.0,car,0,4,337,487,656,749,15277LXV,0.6056166187882379,178,197,256,220,15277LXV
86.0,car,0,1,923,551,1452,830,59002,0.5846409493706155,433,204,508,228,59002
86.0,car,0,2,682,554,940,731,,0.0,0,0,0,0,
86.0,car,0,3,224,522,334,606,,0.0,0,0,0,0,
86.0,car,0,4,339,488,666,757,15277LXV,0.8976658554525891,182,198,262,223,15277LXV
87.0,car,0,1,922,551,1450,829,59036XZ,0.40187321759550565,435,204,505,230,59036XZ
87.0,car,0,2,680,555,940,731,,0.0,0,0,0,0,
87.0,car,0,3,224,524,338,608,,0.0,0,0,0,0,
88.0,car,0,1,683,555,940,730,,0.0,0,0,0,0,
88.0,car,0,2,922,550,1449,828,59836YZE,0.27987759271263446,437,205,504,231,59836YZE
88.0,car,0,3,224,526,338,609,,0.0,0,0,0,0,
89.0,car,0,1,923,550,1450,829,59850X2,0.25565514925182553,436,205,503,231,59850X2
89.0,car,0,2,687,556,939,730,,0.0,0,0,0,0,
89.0,car,0,3,224,526,340,611,,0.0,0,0,0,0,
90.0,car,0,1,924,550,1449,829,59000X2,0.3241538041105479,432,205,503,232,59000X2
90.0,car,0,2,691,556,939,731,,0.0,0,0,0,0,
90.0,car,0,3,224,527,339,613,,0.0,0,0,0,0,
90.0,truck,0,4,355,492,706,775,5277LXV,0.995547745528762,197,200,278,227,5277LXV
91.0,car,0,1,923,550,1450,830,59830XZ,0.23463870329817912,436,206,503,231,59830XZ
91.0,car,0,2,695,556,939,731,,0.0,0,0,0,0,
91.0,car,0,3,225,527,338,614,,0.0,0,0,0,0,
92.0,car,0,1,923,549,1450,830,59830XZ,0.6801798568737113,436,207,503,232,59830XZ
92.0,car,0,2,704,557,939,732,,0.0,0,0,0,0,
92.0,car,0,3,225,526,340,616,,0.0,0,0,0,0,
93.0,car,0,1,924,549,1450,831,59830XZ,0.29637216461694427,436,207,502,232,59830XZ
93.0,car,0,2,708,555,938,732,,0.0,0,0,0,0,
93.0,car,0,3,226,528,342,618,,0.0,0,0,0,0,
93.0,car,0,4,360,496,733,792,5277LXV,0.7830515258028212,202,204,303,233,5277LXV
94.0,car,0,1,923,550,1451,831,5980Z,0.5973950753819578,434,207,506,231,5980Z
94.0,car,0,2,718,555,937,733,,0.0,0,0,0,0,
94.0,car,0,3,226,531,342,618,,0.0,0,0,0,0,
94.0,car,0,4,360,497,741,797,15277LXV,0.8620252286231349,228,206,313,232,15277LXV
95.0,car,0,1,923,550,1451,831,59830Z,0.4424519254889088,434,207,503,231,59830Z
95.0,car,0,2,725,557,938,732,,0.0,0,0,0,0,
95.0,car,0,3,227,530,343,621,,0.0,0,0,0,0,
95.0,car,0,4,367,498,755,800,5277LXV,0.785785794587691,224,208,316,236,5277LXV
96.0,car,0,1,923,549,1451,832,5980Z,0.3227396483004089,434,208,504,232,5980Z
96.0,car,0,2,728,557,938,731,,0.0,0,0,0,0,
96.0,car,0,3,227,529,346,620,,0.0,0,0,0,0,
96.0,car,0,4,371,498,764,806,5277LXV,0.9900730746485756,219,213,327,244,5277LXV
97.0,car,0,1,923,549,1451,831,59002,0.48552763424088724,434,208,503,232,59002
97.0,car,0,2,376,499,779,811,15277LXV,0.9791015710053709,240,216,337,245,15277LXV
97.0,car,0,3,740,558,938,730,,0.0,0,0,0,0,
97.0,car,0,4,228,529,348,620,,0.0,0,0,0,0,
98.0,car,0,1,924,549,1452,831,59836YZ,0.2940574855818266,431,209,504,232,59836YZ
98.0,car,0,2,374,497,795,813,5277LXV,0.8337663545583307,238,224,351,254,5277LXV
98.0,car,0,3,745,558,938,731,,0.0,0,0,0,0,
98.0,car,0,4,229,530,350,620,,0.0,0,0,0,0,
99.0,car,0,1,923,548,1453,832,59636KZ,0.2776486996055719,435,209,504,234,59636KZ
99.0,car,0,2,757,557,937,732,,0.0,0,0,0,0,
99.0,car,0,3,229,530,355,621,,0.0,0,0,0,0,
99.0,car,0,4,378,494,803,822,5277LXV,0.6161276278207041,263,232,349,261,5277LXV
100.0,car,0,1,923,548,1453,831,59836X2,0.12284457519174376,435,210,504,234,59836X2
100.0,car,0,2,230,532,358,622,,0.0,0,0,0,0,
100.0,car,0,3,769,558,937,724,,0.0,0,0,0,0,
100.0,car,0,4,380,494,828,829,5277LXV,0.8593055546638451,262,238,364,269,5277LXV
101.0,car,0,1,923,548,1453,831,59826X2,0.1369635536015405,435,210,504,234,59826X2
101.0,car,0,2,231,531,359,625,,0.0,0,0,0,0,
101.0,car,0,3,771,558,937,724,,0.0,0,0,0,0,
101.0,car,0,4,355,491,840,840,5277LXV,0.9983193149707217,296,242,403,279,5277LXV
102.0,car,0,1,923,549,1453,832,59836XZ,0.22775408727357724,435,209,504,233,59836XZ
102.0,car,0,2,786,557,938,728,,0.0,0,0,0,0,
102.0,car,0,3,231,530,361,626,,0.0,0,0,0,0,
102.0,car,0,4,374,490,850,846,5277LXV,0.8855017769945306,298,253,395,286,5277LXV
103.0,car,0,1,923,550,1453,832,59036XZ,0.10900540357012178,434,208,504,232,59036XZ
103.0,car,0,2,391,490,866,854,5277LXV,0.9835201442441286,289,255,394,295,5277LXV
103.0,car,0,3,232,528,361,627,,0.0,0,0,0,0,
103.0,car,0,4,792,558,937,725,,0.0,0,0,0,0,
104.0,car,0,1,922,549,1453,832,5983687,0.25807736339318366,435,210,504,233,5983687
104.0,car,0,2,396,491,880,857,5277LXV,0.9978795279604115,297,264,409,297,5277LXV
104.0,car,0,3,232,528,365,629,,0.0,0,0,0,0,
104.0,car,0,4,808,559,937,717,,0.0,0,0,0,0,
105.0,car,0,1,923,549,1454,832,59030,0.6617864948560483,436,209,506,233,59030
105.0,car,0,2,235,528,367,628,,0.0,0,0,0,0,
105.0,car,0,3,407,489,897,867,5277LXV,0.9984399631947066,299,271,417,307,5277LXV
105.0,car,0,4,821,557,937,721,,0.0,0,0,0,0,
106.0,car,0,1,926,551,1454,832,59030Z,0.5543584805073369,433,206,505,230,59030Z
106.0,car,0,2,234,529,370,629,,0.0,0,0,0,0,
106.0,car,0,3,416,488,917,876,5277LXV,0.9976374398318816,306,277,426,314,5277LXV
107.0,car,0,1,923,548,1454,833,59030XZ,0.2103847662563773,436,210,505,234,59030XZ
107.0,car,0,2,421,490,934,883,5277LXV,0.9900265159812217,312,282,438,321,5277LXV
107.0,car,0,3,235,526,372,631,,0.0,0,0,0,0,
108.0,car,0,1,930,549,1455,833,5980682,0.2160627568152987,429,207,496,233,5980682
108.0,car,0,2,422,490,954,894,5277LXV,0.999541917916018,326,289,454,325,5277LXV
